月,实际品牌,产品,是否旗舰店,进入时间,销量(件),均价(元),匹数,机型,冷暖型和单冷型,新风功能,是否为省电型,滞后三期铜价,市场月活
202603,美的 Midea,美的 Midea-美的空调京东自营旗舰店,0,0,777,2198.9,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,318,5354.2,正 2 匹,1,1,0,1,11790.96,591500000
202603,奥克斯 Aux,奥克斯 Aux-奥克斯空调京东自营专卖店,0,0,914,1849,正 1.5 匹,0,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-格力空调京东自营官方旗舰店,0,0,544,3099,正 1.5 匹,0,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,390,4299.3,正 1.5 匹,0,1,1,0,11790.96,591500000
202603,小米 Mi,小米 Mi-小米京东自营旗舰店,0,0,441,3799,正 1.5 匹,0,0,0,0,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,243,6884.1,大 3 匹,1,1,0,0,11790.96,591500000
202603,海信 Hisense,海信 Hisense-海信京东自营旗舰店,0,0,706,2349,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,Aufit,Aufit-AUFIT空调官方旗舰店,1,2025/4/28,1024,1599,大 1.5 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的集团官方旗舰店,0,0,544,2999,大 1.5 匹,0,1,1,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力（GREE）京东自营专卖店,0,0,251,6499,正 3 匹,1,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-格力空调京东自营官方旗舰店,0,0,560,2899,正 1.5 匹,0,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-格力京东自营旗舰店,0,0,288,5609,正 2 匹,1,1,0,1,11790.96,591500000
202603,鸿蒙智选,鸿蒙智选-华为京东自营旗舰店,0,0,669,2379.1,正 1 匹,0,1,0,0,11790.96,591500000
202603,格力 Gree,格力 Gree-京东家电自营秒送旗舰店,0,0,474,3314.1,正 1.5 匹,0,1,0,0,11790.96,591500000
202603,Aufit,Aufit-AUFIT空调旗舰店,0,0,978,1599,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,海信 Hisense,海信 Hisense-海信京东自营旗舰店,0,0,367,4229,正 3 匹,1,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-京东电器自营官方旗舰店,0,0,720,2148,正 1 匹,0,1,0,1,11790.96,591500000
202603,美的 Midea,美的 Midea-美的京东自营旗舰店,0,0,595,2599,正 1.5 匹,0,1,0,1,11790.96,591500000
202603,小米 Mi,小米 Mi-小米官方旗舰店,0,0,407,3799,正 3 匹,1,1,0,1,11790.96,591500000
202603,格力 Gree,格力 Gree-格力空调京东自营官方旗舰店,0,0,191,7999,正 3 匹,1,1,0,0,11790.96,591500000
